FRCH,MOOS
NA,1620.5746764279577
NA,1436.366472884022
748.8448500382789,1370.2092106750242
719.2740698455418,1328.289278282636
691.6704894674652,1282.462606628828
670.5754106038621,1286.8034280304055
652.0753612829982,1220.450872320568
641.025558068725,1203.5216688544072
630.1222484576714,1246.8678711358905
611.5803438216038,1197.6305540951228
599.6725066456165,1165.260428786217
576.5683726521456,1129.4796580903349
575.0615813047407,1116.5812173542254
576.1707471576883,1120.6739918185729
542.8957715692662,1069.4522992799637
530.9460790780691,1032.307270429302
521.2565736079802,1010.2931047498823
512.2786084963851,995.0382181100455
504.59815815616156,1036.586080096571
486.72593856338244,984.9303054177981
477.1201437237032,943.2584199626386
467.0957957319727,926.2672047621818
456.6319669305752,896.1915136226647
449.20264848158695,874.115336208922
441.04086201650534,871.8209020395165
428.94467592209185,843.4815394606497
419.59001297364495,845.713961895742
413.0187284863708,839.9468706050733
416.97405577329965,881.5567443259097
408.91690759622423,1027.532366887568
397.76246609394303,882.4869203405348
405.3801334613575,858.2403322260083
411.930490291025,871.8209020395249
794.6136372155725,1870.6439065426869
878.1777740234962,2199.7401805166337
632.4661461091837,1485.365001285457
529.4183600730661,1229.0705033894083
509.89285552966857,1171.089531811186
465.2541618629257,1100.024084293919
438.8853132834162,1014.4478909485284
420.21784270172975,962.0479754580338
404.9615803093002,922.9805828438475
389.80995620488346,872.254984179673
463.0986131298402,1135.184737646711
430.97465870955904,1203.7077040573338
394.9163046599636,1027.4083434189488
379.99488478917556,932.7164251302407
439.0736622018394,919.6319491911927
515.7735273160494,926.8253103709588
508.9929662527484,955.4127198870605
469.64896995950886,926.2051930278661
428.29591853640403,841.9312461029525
414.52551983377333,847.0782200505213
389.244909449609,797.84090300975
372.9422641770355,764.5406016862302
359.65320159926824,732.7285819860978
347.87093036889746,706.9937122481546
338.1224857814739,687.6321301424106
330.85674473783365,676.5459507028148
326.69214087487916,670.902882880769
325.101638897065,666.1899910733385
314.2611122588284,647.8345177180842
304.2995472399052,626.0063872415703
299.3396923880403,624.7041408210911
309.63609992861166,627.2466219277254
316.29109504629804,674.4995634706416
306.28767471216514,643.0596141763441
301.28596454510017,629.7891030343708
367.06159239065164,757.5952874437038
622.3162321718306,1434.9494612928356
768.4749928696916,1700.9177897409875
552.6271323545576,1264.2311567421955
459.56183899496926,1024.6178153750807
414.04418370890926,899.8502059468543
389.7471732320719,822.5215732644428
377.9649020017029,756.7271231633944
373.0050471498428,734.0928401408855
444.0544447113031,956.2808841673723
579.0796915644787,1817.3758267718938
496.8967801583367,1640.5803722590329
437.79707508807286,1236.6979467093333
398.64142771325777,1048.2442861465267
376.6255319151248,945.5528541320467
364.7386223967448,897.0596779029778
372.0214472425153,883.6651432923936
362.2482311420117,844.783785881123
390.58427953618474,878.7662162820549
500.24520537478446,1259.5802766690806
546.1814138128975,1513.146258255565
490.9951807143528,1279.796102053584
569.5576073552074,1580.1189313084894
623.6137469432082,1969.3045758271412
598.1447876406158,1894.8904946572209
606.8716208609785,1793.315273860296
713.0794831951158,2111.3114473930473
632.3196525059624,1759.7049138652135
1182.3194219647824,3143.558776688369
1158.4200369823986,3604.4299860673746
1062.5922928192467,3188.3932605932473
1029.5056661492406,2972.4684017318737
999.6418987500632,2633.8843324087734
952.9732222958501,2578.8799240773333
907.3509287217803,2029.7660167776885
877.9266421322645,1908.967158345189
851.5577935527502,1833.1888190205052
824.6448258755676,1754.6819633862458
806.9400275436097,1700.8557780066767
783.7637144861563,1652.9498149351364
753.825632547742,1595.0637592767696
733.9025025098884,1572.3054527856293
729.3612008100863,1563.2517395766288
722.1411589371206,1632.456835064655
685.9781665995088,1528.5871800983175
684.8480730889587,1530.695579064805
685.6433240778637,1586.134069536387
683.0901498503268,1625.6355442907588
682.2321158886116,1675.4309669402767
781.3873576106107,2083.576722988279
792.8138586617333,2205.075436352643
833.3088761231223,2414.9829103005977
749.3889691359522,2101.513593372347
693.323774418086,1883.1702768729592
660.3417860360975,1750.837235859127
637.2167243850187,1655.897270633177
618.5283261457292,1596.1799704943235
611.496633191191,1555.0661906479424
596.0520218803371,1503.3484042348548
592.1804052238185,1467.4436100703679
585.0022186660639,1454.1730989284042
568.8669946543154,1412.0671313331004
558.3822381953256,1380.9992524446607
541.723822743507,1308.569546772612
561.270254944507,1479.721933463409
800.8291515235973,2299.8891314244743
749.5773180543729,2558.9121456300854
568.804211681508,2103.0018749957417
NA,1377.0305014489313
NA,1339.6374256610663
NA,1314.956755406364
NA,1255.8595726105862
NA,1293.7487422729257
NA,1227.5822217660145
NA,1156.8888446545934
NA,1169.2911915162356
NA,1207.924501990292
NA,1155.586598234119
NA,1166.624686941
NA,1277.935750024324
NA,1154.780445688113
NA,1109.2638327058569
NA,1104.94572208319
